"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RIMKLB",1251.90179810512,0.0550514760076153,0.078033149918603,0.705488322143089,0.480506396755836,0.773995593167553
"NPIPA9",802.897102706445,0.147408966540278,0.209023518311443,0.705226702387814,0.480669166431647,0.774173732343286
"NEIL2",425.978921719709,-0.0787358087954459,0.111667079081532,-0.705094191081675,0.480751621291501,0.774216789946065
"TRNAU1AP",315.600330839554,0.0908925331286281,0.1289226482707,0.705016025871424,0.480800263029119,0.774216789946065
"BCL7B",1101.41242070676,0.0518630369688753,0.0735797613976596,0.704854650025067,0.48090069472217,0.774294477221144
"FBXO33",293.577237578921,0.0978755691616667,0.138941798898347,0.704435741711353,0.481161454160984,0.774508014494563
"GATC",730.424500509407,0.0637885243447995,0.090557216268048,0.704400234167827,0.48118356021402,0.774508014494563
"NCEH1",2525.23056611524,-0.0390749345966334,0.0554734362348902,-0.704390015271077,0.481189922330045,0.774508014494563
"RAB8B",997.473058548688,0.0672648189054004,0.0955053729976416,0.704304028078728,0.481243458347064,0.77451016286966
"TSHZ2",55.1139657895243,0.241334686751691,0.342845024351542,0.703917716782246,0.48148401751887,0.77472924497641
"ZNF480",383.11168333692,-0.0914953574318512,0.12997283375415,-0.703957548582186,0.481459210909148,0.77472924497641
"AL080317.2",71.1304207174285,-0.189166728985038,0.268787589035126,-0.7037777661688,0.48157118204386,0.77478547256395
"BHMT",124.317108396967,-0.143708610078439,0.204288300992725,-0.703459813313326,0.481769242449499,0.774951787425084
"SLC16A5",425.488011134948,-0.0881683192700344,0.12533805664991,-0.703444122452791,0.481779017807439,0.774951787425084
"SARNP",683.971465504842,-0.0638503266471424,0.0908312973656885,-0.702955132195017,0.482083711306708,0.775357834651234
